"Game Reference,Date,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS"
"202103160CHI,3/16/2021,Isaiah Roby,robyis01,31.33,9,0.444,1,1,1,2,2,1,2,3,5,2,2,2,1,4,11,21"
"202103190MIA,3/19/2021,Jimmy Butler,butleji01,31.42,10,0.6,0,0,,5,5,1,2,6,8,4,2,0,3,0,17,25"
"202104230BRK,4/23/2021,Romeo Langford,langfro01,18.47,2,0,0,0,,0,0,,2,0,2,0,0,0,2,4,0,4"
"202210190BRK,10/19/2022,Ben Simmons,simmobe01,23.1,3,0.667,0,0,,0,2,0,0,5,5,5,0,0,3,6,4,8"
"202211020SAS,11/2/2022,Jakob Poeltl,poeltja01,20.4,6,0.5,0,0,,0,0,,5,1,6,2,0,1,5,2,6,12"
"202302010PHO,2/1/2023,Deandre Ayton,aytonde01,26.32,12,0.75,0,0,,2,3,0.667,1,8,9,0,0,0,0,0,20,27"
"202303050LAL,3/5/2023,Kevon Looney,looneke01,20.24,4,0.75,0,0,,0,0,,1,4,5,0,1,1,2,4,6,8"
"202303260BOS,3/26/2023,Tre Jones,jonestr01,26.27,9,0.444,1,1,1,2,3,0.667,1,4,5,4,3,0,1,2,11,22"
"202304210NYK,4/21/2023,Jarrett Allen,allenja01,36.54,3,1,0,0,,0,2,0,3,2,5,1,0,2,0,0,6,8"
"202102030CLE,2/3/2021,Darius Garland,garlada01,34.41,18,0.611,1,1,1,0,0,,2,2,4,2,0,0,2,0,23,37"
"202104060ATL,4/6/2021,Steven Adams,adamsst01,25.06,6,0.333,0,0,,2,4,0.5,6,2,8,1,3,0,2,1,6,16"
"202104270IND,4/27/2021,JaKarr Sampson,sampsja02,22.56,5,0.6,0,0,,0,0,,3,2,5,1,0,2,4,3,6,10"
"202105080UTA,5/8/2021,D.J. Augustin,augusdj01,18.16,3,0.333,1,1,1,2,3,0.667,0,0,0,1,0,0,1,0,5,10"
"202106080PHI,6/8/2021,Clint Capela,capelca01,27.38,7,0.714,0,0,,0,0,,3,5,8,1,0,0,3,5,10,14"
"202106240LAC,6/23/2021,Deandre Ayton,aytonde01,35.35,13,0.692,0,0,,0,1,0,4,5,9,0,1,2,0,2,18,27"
"202211160ORL,11/16/2022,Franz Wagner,wagnefr01,34.53,17,0.412,1,1,1,3,4,0.75,1,5,6,4,0,1,2,3,18,39"
"202212070NYK,12/7/2022,Clint Capela,capelca01,21.51,7,0.857,0,0,,1,2,0.5,7,5,12,0,0,1,0,3,13,16"
"202301080MIA,1/8/2023,Bam Adebayo,adebaba01,28.15,15,0.333,0,0,,0,3,0,4,4,8,2,0,1,0,1,10,33"
"202012310WAS,12/31/2020,Wendell Carter Jr.,cartewe01,22.58,11,0.636,1,1,1,1,2,0.5,1,4,5,1,1,1,2,5,16,25"
"202101250GSW,1/25/2021,Jarred Vanderbilt,vandeja01,24.35,8,0.625,0,0,,2,2,1,4,1,5,2,2,2,2,3,12,18"
"202101300GSW,1/30/2021,Mason Plumlee,plumlma01,16.16,3,0.667,0,0,,2,2,1,0,2,2,1,0,1,0,0,6,8"
"202103030NOP,3/3/2021,Steven Adams,adamsst01,21.16,1,0,0,0,,0,2,0,2,3,5,0,0,1,0,0,0,4"
"202103220CLE,3/22/2021,Jarrett Allen,allenja01,26.5,11,0.364,0,0,,3,5,0.6,2,7,9,0,0,1,1,0,11,27"
"202103290OKC,3/29/2021,Moses Brown,brownmo01,29.38,5,0.2,0,0,,4,10,0.4,3,6,9,0,2,2,1,0,6,20"
"202104070BRK,4/7/2021,Zion Williamson,willizi01,22.36,12,0.333,0,0,,8,14,0.571,2,2,4,6,2,0,2,2,16,38"
"202105010OKC,5/1/2021,Moses Brown,brownmo01,17.55,9,0.778,0,0,,2,3,0.667,5,2,7,0,0,0,1,3,16,21"
"202105110CHO,5/11/2021,Bismack Biyombo,biyombi01,16.18,4,0.5,0,0,,0,0,,0,1,1,1,0,1,2,3,4,8"
"202106180LAC,6/18/2021,Rudy Gobert,goberru01,42.08,6,0.833,0,0,,2,4,0.5,7,3,10,2,2,0,3,5,12,16"
"202210310TOR,10/31/2022,Clint Capela,capelca01,25.25,7,0.857,0,0,,1,4,0.25,2,3,5,0,0,1,1,2,13,18"
"202212030GSW,12/3/2022,Alperen ÅžengÃ¼n,sengual01,20.07,9,0.667,0,0,,0,0,,1,3,4,1,0,1,1,2,12,18"
"202301050DEN,1/4/2023,Ivica Zubac,zubaciv01,15.32,2,1,0,0,,4,4,1,0,5,5,0,0,1,1,0,8,8"
"202302040OKC,2/4/2023,Alperen ÅžengÃ¼n,sengual01,15.13,8,0.625,0,0,,0,0,,1,3,4,1,1,1,3,4,10,16"
"202302100NOP,2/10/2023,Jonas ValanÄiÅ«nas,valanjo01,23.53,8,0.25,0,0,,3,4,0.75,5,2,7,1,0,0,0,2,7,20"
"202303250MIA,3/25/2023,Bam Adebayo,adebaba01,34.37,14,0.571,0,0,,0,0,,4,3,7,2,1,1,4,3,16,28"
"202303270NYK,3/27/2023,Alperen ÅžengÃ¼n,sengual01,28.23,9,0.556,1,1,1,0,1,0,1,4,5,1,0,1,5,2,11,20"
"202304070WAS,4/7/2023,Cody Zeller,zelleco01,21.51,10,0.8,0,0,,1,1,1,1,4,5,1,0,0,3,3,17,21"
"202101110WAS,1/11/2021,Deandre Ayton,aytonde01,24.54,10,0.4,0,0,,0,0,,2,4,6,1,0,1,2,2,8,20"
"202101200HOU,1/20/2021,P.J. Tucker,tuckepj01,21.21,2,0.5,0,0,,0,0,,0,0,0,0,1,0,2,3,2,4"
"202101250DET,1/25/2021,Dwight Howard,howardw01,24.09,5,0.4,0,0,,1,2,0.5,2,2,4,0,2,1,1,3,5,12"
"202103110TOR,3/11/2021,Clint Capela,capelca01,27.35,7,0.571,0,0,,1,3,0.333,7,12,19,0,1,5,2,3,9,17"
"202103260GSW,3/26/2021,Draymond Green,greendr01,27.14,0,,0,0,,0,0,,1,1,2,9,0,0,4,4,0,0"
"202105250BRK,5/25/2021,Tristan Thompson,thomptr01,24.36,9,0.778,0,0,,1,2,0.5,8,3,11,0,0,1,2,3,15,20"
