Game Reference,Date,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
202403300NOP,3/30/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,35.30,10,17,0.588,3,6,0.5,0,0,,1,8,9,4,0,0,4,1,23,8,
202403280ATL,3/28/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,45.14,9,22,0.409,2,7,0.286,11,13,0.846,3,10,13,6,0,0,2,3,31,-11,
202403250ATL,3/25/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,49.23,13,26,0.5,2,7,0.286,9,11,0.818,2,6,8,5,2,1,2,1,37,3,
202403230CHI,3/23/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,37.24,8,20,0.4,2,7,0.286,8,9,0.889,1,1,2,6,1,1,5,1,26,5,
202403200BOS,3/20/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,39.20,9,19,0.474,4,7,0.571,9,10,0.9,0,8,8,4,3,2,2,2,31,2,
202403170WAS,3/17/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,26.36,8,17,0.471,6,12,0.5,8,10,0.8,0,6,6,6,3,1,2,1,30,26,
202403140BOS,3/14/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,33.05,10,18,0.556,4,8,0.5,2,3,0.667,1,4,5,5,0,0,3,3,26,26,
202403120UTA,3/12/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,34.00,13,25,0.52,4,10,0.4,8,8,1,2,4,6,2,0,1,3,3,38,8,
202403110POR,3/12/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,35.40,9,23,0.391,2,8,0.25,6,8,0.75,0,5,5,8,0,0,1,0,26,16,
202403090PHO,3/9/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,42.16,11,28,0.393,5,9,0.556,2,2,1,3,7,10,7,1,0,4,0,29,4,
202403070DEN,3/7/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,38.39,5,13,0.385,2,5,0.4,3,4,0.75,1,3,4,8,2,0,5,4,15,-2,
202403050CLE,3/5/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,37.31,8,21,0.381,5,9,0.556,5,6,0.833,2,11,13,2,0,0,2,3,26,-7,
202403030BOS,3/3/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,34.45,9,13,0.692,4,5,0.8,5,5,1,0,3,3,5,1,1,0,2,27,40,
202403010BOS,3/1/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,43.22,10,19,0.526,5,9,0.556,7,7,1,0,8,8,3,0,0,4,2,32,17,
202402270BOS,2/27/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,34.55,9,20,0.45,1,7,0.143,10,11,0.909,0,11,11,8,0,1,1,1,29,27,
202402240NYK,2/24/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,38.39,7,15,0.467,2,8,0.25,3,4,0.75,1,5,6,6,2,1,4,3,19,15,
202402220CHI,2/22/2024,BOS,game,TRUE,Jayson Tatum,tatumja01,41.26,8,17,0.471,5,10,0.5,4,6,0.667,0,7,7,5,3,0,3,3,25,13,
202310250NYK,10/25/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,27.36,13,22,0.591,3,8,0.375,5,6,0.833,0,11,11,4,2,1,4,3,34,0,
202310270BOS,10/27/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,26.34,9,22,0.409,3,10,0.3,1,3,0.333,0,8,8,5,1,0,2,4,22,13,
202310300WAS,10/30/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,40.52,14,21,0.667,4,9,0.444,1,1,1,0,6,6,3,0,0,2,2,33,27,
202311010BOS,11/1/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,42.58,9,15,0.6,3,5,0.6,9,10,0.9,2,10,12,4,0,0,2,1,30,36,
202311040BRK,11/4/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,37.05,10,20,0.5,6,10,0.6,6,6,1,1,10,11,1,0,0,3,1,32,18,
202311060MIN,11/6/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,33.18,12,22,0.545,2,8,0.25,6,8,0.75,0,5,5,2,5,0,6,2,32,3,
202311080PHI,11/8/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,34.05,6,14,0.429,2,6,0.333,2,3,0.667,1,14,15,6,3,0,2,2,16,-1,
202311100BOS,11/10/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,39.28,6,17,0.353,4,11,0.364,7,9,0.778,1,9,10,3,0,0,2,1,23,28,
202311110BOS,11/11/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,38.30,10,18,0.556,3,9,0.333,4,6,0.667,0,5,5,4,0,1,1,2,27,42,
202311130BOS,11/13/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,37.25,13,23,0.565,5,12,0.417,4,5,0.8,1,5,6,7,1,0,3,5,35,12,
202311150PHI,11/15/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,35.15,10,23,0.435,4,10,0.4,5,6,0.833,2,6,8,6,2,0,3,1,29,2,
202311170TOR,11/17/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,43.54,8,22,0.364,1,11,0.091,0,0,,1,6,7,2,1,0,3,3,17,-4,
202311190MEM,11/19/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,36.01,7,13,0.538,1,1,1,5,6,0.833,2,7,9,5,1,1,8,4,20,-1,
202311200CHO,11/20/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,38.55,15,28,0.536,7,15,0.467,8,10,0.8,0,13,13,6,0,2,3,1,45,-5,
202311220BOS,11/22/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,38.48,7,17,0.412,2,9,0.222,7,9,0.778,0,11,11,4,0,1,2,2,23,-2,
202311240ORL,11/22/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,35.33,7,16,0.438,0,3,0,12,13,0.923,0,5,5,3,2,0,2,3,26,-21,
202311260BOS,11/26/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,27.27,11,25,0.44,5,13,0.385,7,10,0.7,1,8,9,4,2,0,6,2,34,3,
202311280BOS,11/28/2023,BOS,game,TRUE,Jayson Tatum,tatumja01,37.22,8,16,0.5,2,8,0.25,3,3,1,1,6,7,4,0,0,4,2,21,18,
