Game Reference,Date,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
202105040NOP,5/4/2021,GSW,game,TRUE,Stephen Curry,curryst01,37.06,13,31,0.419,8,20,0.4,3,3,1,2,7,9,2,3,0,4,2,37,-9,
202105060GSW,5/6/2021,GSW,game,TRUE,Stephen Curry,curryst01,31.21,11,21,0.524,6,13,0.462,6,7,0.857,0,4,4,7,1,0,3,2,34,24,
202105080GSW,5/8/2021,GSW,game,TRUE,Stephen Curry,curryst01,29.2,14,26,0.538,11,21,0.524,10,10,1,0,5,5,2,1,0,1,2,49,31,
202105100GSW,5/10/2021,GSW,game,TRUE,Stephen Curry,curryst01,36.55,11,25,0.44,3,13,0.231,11,12,0.917,1,3,4,6,2,0,3,1,36,4,
202105110GSW,5/11/2021,GSW,game,TRUE,Stephen Curry,curryst01,36.31,7,22,0.318,1,11,0.091,6,6,1,0,3,3,6,1,0,3,2,21,6,
202105160GSW,5/16/2021,GSW,game,TRUE,Stephen Curry,curryst01,39.57,16,36,0.444,9,22,0.409,5,6,0.833,1,6,7,9,1,1,7,2,46,14,
202105190LAL,5/18/2021,GSW,game,TRUE,Stephen Curry,curryst01,40.37,12,23,0.522,6,9,0.667,7,8,0.875,0,7,7,3,0,0,6,2,37,4,
202105210GSW,5/21/2021,GSW,game,TRUE,Stephen Curry,curryst01,47.23,13,28,0.464,6,15,0.4,7,7,1,1,3,4,5,3,0,7,5,39,4,
202110190LAL,10/19/2021,GSW,game,TRUE,Stephen Curry,curryst01,36.11,5,21,0.238,2,8,0.25,9,9,1,1,9,10,10,3,0,4,1,21,,
202110210GSW,10/21/2021,GSW,game,TRUE,Stephen Curry,curryst01,37.33,16,25,0.64,8,13,0.615,5,5,1,0,10,10,1,1,1,6,2,45,,
202110240SAC,10/24/2021,GSW,game,TRUE,Stephen Curry,curryst01,35.16,9,23,0.391,4,15,0.267,5,6,0.833,1,6,7,10,3,0,3,1,27,,
202110260OKC,10/26/2021,GSW,game,TRUE,Stephen Curry,curryst01,32.18,6,14,0.429,4,9,0.444,7,7,1,1,5,6,4,0,1,4,1,23,,
202110280GSW,10/28/2021,GSW,game,TRUE,Stephen Curry,curryst01,40.4,11,29,0.379,7,20,0.35,7,7,1,1,6,7,8,1,0,5,2,36,,
202110300GSW,10/30/2021,GSW,game,TRUE,Stephen Curry,curryst01,27.11,7,16,0.438,6,15,0.4,0,0,,0,5,5,6,1,1,2,1,20,,
202111030GSW,11/3/2021,GSW,game,TRUE,Stephen Curry,curryst01,35.25,6,15,0.4,3,11,0.273,0,0,,1,7,8,9,1,1,4,3,15,,
202111050GSW,11/5/2021,GSW,game,TRUE,Stephen Curry,curryst01,29.45,5,16,0.313,5,13,0.385,4,4,1,0,3,3,6,0,2,1,1,19,,
202111070GSW,11/7/2021,GSW,game,TRUE,Stephen Curry,curryst01,26.49,8,16,0.5,4,11,0.364,0,0,,2,1,3,2,3,0,0,3,20,,
