Game Reference,Date,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
202211010MIA,11/1/2022,GSW,game,TRUE,Stephen Curry,curryst01,34.3,7,14,0.5,4,10,0.4,5,5,1,4,9,13,13,1,0,5,3,23,3,
202211030ORL,11/2/2022,GSW,game,TRUE,Stephen Curry,curryst01,38.2,13,22,0.591,8,15,0.533,5,5,1,1,2,3,9,0,0,5,3,39,4,
202211070GSW,11/7/2022,GSW,game,TRUE,Stephen Curry,curryst01,37.43,17,24,0.708,7,12,0.583,6,7,0.857,0,8,8,8,0,0,0,2,47,20,
202211110GSW,11/11/2022,GSW,game,TRUE,Stephen Curry,curryst01,34,15,23,0.652,6,11,0.545,4,6,0.667,0,4,4,5,1,0,2,4,40,7,
202211130SAC,11/13/2022,GSW,game,TRUE,Stephen Curry,curryst01,36.51,9,17,0.529,3,9,0.333,6,6,1,0,6,6,4,1,0,4,0,27,0,
202211140GSW,11/14/2022,GSW,game,TRUE,Stephen Curry,curryst01,27.01,5,11,0.455,3,7,0.429,3,3,1,1,4,5,5,1,0,1,1,16,17,
202211160PHO,11/16/2022,GSW,game,TRUE,Stephen Curry,curryst01,36.14,17,28,0.607,7,11,0.636,9,9,1,0,9,9,6,0,1,3,2,50,-14,
202211180GSW,11/18/2022,GSW,game,TRUE,Stephen Curry,curryst01,33.5,9,19,0.474,5,13,0.385,1,3,0.333,0,6,6,10,2,0,5,2,24,18,
202211200HOU,11/20/2022,GSW,game,TRUE,Stephen Curry,curryst01,36.59,11,20,0.55,7,14,0.5,4,5,0.8,0,6,6,15,3,2,1,3,33,22,
202211230GSW,11/23/2022,GSW,game,TRUE,Stephen Curry,curryst01,31.41,9,20,0.45,4,10,0.4,0,0,,1,5,6,9,0,0,1,0,22,18,
202211250GSW,11/25/2022,GSW,game,TRUE,Stephen Curry,curryst01,35.43,13,23,0.565,6,13,0.462,1,1,1,0,5,5,4,2,0,5,4,33,19,
202211270MIN,11/26/2022,GSW,game,TRUE,Stephen Curry,curryst01,32.37,7,17,0.412,4,11,0.364,7,7,1,1,10,11,8,1,0,7,1,25,22,
202211290DAL,11/29/2022,GSW,game,TRUE,Stephen Curry,curryst01,37.48,11,24,0.458,5,14,0.357,5,6,0.833,1,4,5,5,0,0,4,4,32,-12,
202212020GSW,12/2/2022,GSW,game,TRUE,Stephen Curry,curryst01,33.23,6,16,0.375,4,8,0.5,3,3,1,0,11,11,6,0,1,6,5,19,-1,
202212030GSW,12/3/2022,GSW,game,TRUE,Stephen Curry,curryst01,34.32,10,21,0.476,8,17,0.471,2,3,0.667,0,3,3,10,1,1,4,0,30,19,
202212050GSW,12/5/2022,GSW,game,TRUE,Stephen Curry,curryst01,37.42,3,17,0.176,2,10,0.2,4,4,1,0,4,4,6,1,0,3,2,12,-17,
202212100GSW,12/10/2022,GSW,game,TRUE,Stephen Curry,curryst01,37.27,12,21,0.571,6,11,0.545,2,2,1,1,5,6,7,0,1,4,3,32,20,
202212130MIL,12/12/2022,GSW,game,TRUE,Stephen Curry,curryst01,27.19,6,17,0.353,3,10,0.3,5,5,1,2,4,6,1,1,1,2,0,20,-20,
202212140IND,12/14/2022,GSW,game,TRUE,Stephen Curry,curryst01,29.33,11,19,0.579,5,10,0.5,11,11,1,1,6,7,7,2,1,3,2,38,-6,
202301100GSW,1/10/2023,GSW,game,TRUE,Stephen Curry,curryst01,31.16,8,22,0.364,5,15,0.333,3,4,0.75,1,0,1,3,1,0,1,4,24,-19,
202301130SAS,1/13/2023,GSW,game,TRUE,Stephen Curry,curryst01,23.07,6,12,0.5,2,7,0.286,1,1,1,0,4,4,3,0,1,0,3,15,12,
202301150CHI,1/15/2023,GSW,game,TRUE,Stephen Curry,curryst01,34.29,8,15,0.533,3,10,0.3,1,2,0.5,0,10,10,4,0,1,8,2,20,-9,
202301160WAS,1/15/2023,GSW,game,TRUE,Stephen Curry,curryst01,37.5,12,28,0.429,6,15,0.4,11,12,0.917,1,6,7,2,0,0,4,1,41,14,
202301190BOS,1/19/2023,GSW,game,TRUE,Stephen Curry,curryst01,43.05,9,25,0.36,6,18,0.333,5,5,1,0,4,4,7,3,2,3,1,29,9,
202301220GSW,1/22/2023,GSW,game,TRUE,Stephen Curry,curryst01,37.35,7,16,0.438,4,8,0.5,8,8,1,1,5,6,7,1,0,5,2,26,-8,
202301250GSW,1/25/2023,GSW,game,TRUE,Stephen Curry,curryst01,34.47,10,19,0.526,4,8,0.5,10,11,0.909,0,2,2,3,2,0,3,3,34,-3,
202301270GSW,1/27/2023,GSW,game,TRUE,Stephen Curry,curryst01,38.47,13,21,0.619,4,8,0.5,5,5,1,0,7,7,11,2,0,3,1,35,13,
202301300OKC,1/30/2023,GSW,game,TRUE,Stephen Curry,curryst01,36.36,12,20,0.6,8,14,0.571,6,6,1,1,7,8,12,0,1,4,0,38,17,
202302010MIN,2/1/2023,GSW,game,TRUE,Stephen Curry,curryst01,42.22,8,21,0.381,5,12,0.417,8,9,0.889,0,10,10,3,1,1,4,5,29,-5,
202302020DEN,2/1/2023,GSW,game,TRUE,Stephen Curry,curryst01,33.11,10,17,0.588,5,10,0.5,3,3,1,2,3,5,5,0,0,6,4,28,-16,
202302040GSW,2/4/2023,GSW,game,TRUE,Stephen Curry,curryst01,25.33,7,11,0.636,2,6,0.333,5,5,1,0,6,6,7,0,0,0,2,21,14,
202303050LAL,3/5/2023,GSW,game,TRUE,Stephen Curry,curryst01,32.02,8,20,0.4,5,13,0.385,6,6,1,0,2,2,6,1,0,2,3,27,-12,
202303070OKC,3/7/2023,GSW,game,TRUE,Stephen Curry,curryst01,35.28,14,23,0.609,10,16,0.625,2,2,1,1,5,6,7,0,0,6,4,40,-2,
202303090MEM,3/9/2023,GSW,game,TRUE,Stephen Curry,curryst01,34.24,10,19,0.526,4,8,0.5,5,6,0.833,3,4,7,4,1,0,4,3,29,2,
202303110GSW,3/11/2023,GSW,game,TRUE,Stephen Curry,curryst01,43.24,13,27,0.481,6,15,0.4,4,4,1,1,5,6,4,2,1,5,1,36,10,
202303130GSW,3/13/2023,GSW,game,TRUE,Stephen Curry,curryst01,33.28,7,13,0.538,4,6,0.667,5,6,0.833,2,5,7,5,0,0,5,4,23,14,
202303150LAC,3/15/2023,GSW,game,TRUE,Stephen Curry,curryst01,38.32,20,28,0.714,8,14,0.571,2,4,0.5,0,2,2,6,2,0,2,1,50,-11,
202303170ATL,3/17/2023,GSW,game,TRUE,Stephen Curry,curryst01,37.18,12,27,0.444,4,13,0.308,3,3,1,2,4,6,5,0,0,6,2,31,-1,
202303180MEM,3/18/2023,GSW,game,TRUE,Stephen Curry,curryst01,30.03,5,15,0.333,3,8,0.375,3,4,0.75,1,7,8,5,0,0,1,1,16,-10,
202303200HOU,3/20/2023,GSW,game,TRUE,Stephen Curry,curryst01,36.06,10,23,0.435,5,15,0.333,5,5,1,1,6,7,5,2,1,4,3,30,5,
202303220DAL,3/22/2023,GSW,game,TRUE,Stephen Curry,curryst01,34.42,9,18,0.5,2,8,0.25,0,0,,1,4,5,13,0,0,3,2,20,10,
202303240GSW,3/24/2023,GSW,game,TRUE,Stephen Curry,curryst01,38.26,10,18,0.556,2,7,0.286,7,8,0.875,0,8,8,3,0,0,2,2,29,20,
202303260GSW,3/26/2023,GSW,game,TRUE,Stephen Curry,curryst01,36.12,8,23,0.348,4,13,0.308,0,0,,0,6,6,9,1,0,3,3,20,2,
202303280GSW,3/28/2023,GSW,game,TRUE,Stephen Curry,curryst01,36.57,14,25,0.56,8,15,0.533,3,4,0.75,2,6,8,8,3,0,4,0,39,12,
202303310GSW,3/31/2023,GSW,game,TRUE,Stephen Curry,curryst01,32.43,11,21,0.524,7,11,0.636,4,4,1,1,1,2,5,0,0,1,1,33,-3,
202304020DEN,4/2/2023,GSW,game,TRUE,Stephen Curry,curryst01,36.53,8,28,0.286,2,14,0.143,3,3,1,1,2,3,4,0,2,3,1,21,-5,
202304040GSW,4/4/2023,GSW,game,TRUE,Stephen Curry,curryst01,36.46,11,25,0.44,6,13,0.462,6,6,1,0,5,5,6,1,0,0,3,34,14,
202304070SAC,4/6/2023,GSW,game,TRUE,Stephen Curry,curryst01,32.41,8,14,0.571,3,7,0.429,6,7,0.857,1,6,7,6,2,1,5,1,25,33,
202304090POR,4/9/2023,GSW,game,TRUE,Stephen Curry,curryst01,22.27,9,15,0.6,5,10,0.5,3,3,1,0,5,5,7,0,0,1,0,26,26,
202304150SAC,4/15/2023,GSW,game,TRUE,Stephen Curry,curryst01,37.25,11,20,0.55,6,14,0.429,2,2,1,1,5,6,2,0,0,5,3,30,11,
202304170SAC,4/17/2023,GSW,game,TRUE,Stephen Curry,curryst01,40.46,9,21,0.429,3,13,0.231,7,8,0.875,0,3,3,6,0,1,5,2,28,3,
202304200GSW,4/20/2023,GSW,game,TRUE,Stephen Curry,curryst01,36.57,12,25,0.48,6,12,0.5,6,6,1,1,5,6,3,2,1,1,4,36,24,
202304230GSW,4/23/2023,GSW,game,TRUE,Stephen Curry,curryst01,42.42,11,22,0.5,5,11,0.455,5,5,1,0,5,5,4,1,0,1,3,32,7,
202304260SAC,4/25/2023,GSW,game,TRUE,Stephen Curry,curryst01,41.58,12,25,0.48,2,10,0.2,5,6,0.833,0,2,2,8,0,0,5,2,31,4,
202304280GSW,4/28/2023,GSW,game,TRUE,Stephen Curry,curryst01,36.18,9,21,0.429,5,12,0.417,6,9,0.667,0,4,4,5,2,1,5,2,29,-16,
202304300SAC,4/29/2023,GSW,game,TRUE,Stephen Curry,curryst01,37.41,20,38,0.526,7,18,0.389,3,5,0.6,1,7,8,6,1,0,1,2,50,25,
202305020GSW,5/2/2023,GSW,game,TRUE,Stephen Curry,curryst01,37.3,10,24,0.417,6,13,0.462,1,1,1,0,6,6,3,1,0,5,3,27,-1,
202305040GSW,5/4/2023,GSW,game,TRUE,Stephen Curry,curryst01,29.32,7,12,0.583,3,5,0.6,3,3,1,0,4,4,12,1,0,3,3,20,24,
202305060LAL,5/6/2023,GSW,game,TRUE,Stephen Curry,curryst01,32.03,9,21,0.429,4,10,0.4,1,3,0.333,2,2,4,3,1,1,3,2,23,-26,
202305080LAL,5/8/2023,GSW,game,TRUE,Stephen Curry,curryst01,41.59,12,30,0.4,3,14,0.214,4,4,1,3,7,10,14,3,0,2,5,31,1,
202305100GSW,5/10/2023,GSW,game,TRUE,Stephen Curry,curryst01,39.2,12,24,0.5,3,11,0.273,0,0,,0,3,3,8,0,1,2,0,27,12,
202305120LAL,5/12/2023,GSW,game,TRUE,Stephen Curry,curryst01,38.57,11,28,0.393,4,14,0.286,6,6,1,1,5,6,5,1,1,4,3,32,-21,
202404120GSW,4/12/2024,GSW,game,TRUE,Stephen Curry,curryst01,32.23,12,23,0.522,7,13,0.538,2,2,1,0,4,4,5,1,0,7,33,33,-8,
202404110POR,4/11/2024,GSW,game,TRUE,Stephen Curry,curryst01,36.22,8,22,0.364,5,16,0.313,1,1,1,0,7,7,8,1,2,2,22,22,7,
202404090LAL,4/9/2024,GSW,game,TRUE,Stephen Curry,curryst01,32.19,7,9,0.778,6,6,1,3,4,0.75,0,7,7,8,1,2,1,23,23,13,
202404050DAL,4/5/2024,GSW,game,TRUE,Stephen Curry,curryst01,35.25,9,23,0.391,5,14,0.357,5,6,0.833,1,5,6,5,1,0,2,28,28,-5,
202404040HOU,4/4/2024,GSW,game,TRUE,Stephen Curry,curryst01,30.39,9,14,0.643,2,6,0.333,9,9,1,0,6,6,6,0,0,3,29,29,29,
202404020GSW,4/2/2024,GSW,game,TRUE,Stephen Curry,curryst01,31.34,5,18,0.278,3,5,0.6,0,0,,0,7,7,7,1,2,4,13,13,-4,
202403310SAS,3/31/2024,GSW,game,TRUE,Stephen Curry,curryst01,32.32,12,23,0.522,7,15,0.467,2,2,1,0,1,1,8,0,0,4,33,33,12,
202403290CHO,3/29/2024,GSW,game,TRUE,Stephen Curry,curryst01,32.08,9,18,0.5,4,11,0.364,1,1,1,0,1,1,4,1,0,0,23,23,13,
202403270ORL,3/27/2024,GSW,game,TRUE,Stephen Curry,curryst01,35.01,6,18,0.333,3,8,0.375,2,2,1,0,4,4,10,0,0,2,17,17,18,
202403260MIA,3/26/2024,GSW,game,TRUE,Stephen Curry,curryst01,31.01,7,15,0.467,3,10,0.3,0,0,,1,1,2,6,0,0,1,17,17,19,
202403240MIN,3/24/2024,GSW,game,TRUE,Stephen Curry,curryst01,29.51,9,21,0.429,5,11,0.455,8,8,1,0,4,4,3,0,0,2,31,31,6,
202403220GSW,3/22/2024,GSW,game,TRUE,Stephen Curry,curryst01,34.53,9,24,0.375,6,18,0.333,1,1,1,3,8,11,5,0,0,1,25,25,-13,
202403200GSW,3/20/2024,GSW,game,TRUE,Stephen Curry,curryst01,24.05,5,9,0.556,4,7,0.571,0,0,,1,1,2,3,0,1,2,14,14,17,
202403180GSW,3/18/2024,GSW,game,TRUE,Stephen Curry,curryst01,33.19,8,20,0.4,4,13,0.308,7,7,1,0,5,5,5,0,0,2,27,27,-9,
202403160LAL,3/16/2024,GSW,game,TRUE,Stephen Curry,curryst01,33.52,12,24,0.5,3,10,0.3,4,5,0.8,1,5,6,5,2,0,1,31,31,4,
202403070GSW,3/7/2024,GSW,game,TRUE,Stephen Curry,curryst01,28.42,5,18,0.278,3,12,0.25,2,2,1,0,3,3,1,0,0,2,15,15,9,
202403060GSW,3/6/2024,GSW,game,TRUE,Stephen Curry,curryst01,30.46,10,18,0.556,6,10,0.6,3,4,0.75,2,6,8,5,0,0,2,29,29,15,
202403030BOS,3/3/2024,GSW,game,TRUE,Stephen Curry,curryst01,16.41,2,13,0.154,0,9,0,0,0,,0,1,1,3,0,0,2,4,4,-29,
202403010TOR,3/1/2024,GSW,game,TRUE,Stephen Curry,curryst01,30.07,9,22,0.409,7,15,0.467,0,0,,2,4,6,6,0,0,4,25,25,12,
202402290NYK,2/29/2024,GSW,game,TRUE,Stephen Curry,curryst01,31.35,11,26,0.423,8,18,0.444,1,1,1,2,9,11,1,1,0,3,31,31,20,
202402270WAS,2/27/2024,GSW,game,TRUE,Stephen Curry,curryst01,29.38,6,21,0.286,4,16,0.25,2,2,1,0,5,5,6,1,1,3,18,18,1,
202402250GSW,2/25/2024,GSW,game,TRUE,Stephen Curry,curryst01,32.1,6,19,0.316,1,10,0.1,7,8,0.875,0,1,1,4,0,0,3,20,20,-22,
202402230GSW,2/23/2024,GSW,game,TRUE,Stephen Curry,curryst01,31.14,5,14,0.357,3,11,0.273,2,2,1,0,2,2,5,1,0,4,15,15,10,
202402220GSW,2/22/2024,GSW,game,TRUE,Stephen Curry,curryst01,31.47,12,24,0.5,6,13,0.462,2,2,1,0,1,1,8,3,0,1,32,32,25,
202402150UTA,2/15/2024,GSW,game,TRUE,Stephen Curry,curryst01,35.28,4,14,0.286,2,8,0.25,6,8,0.75,1,1,2,10,1,0,4,16,16,-2,
202402140GSW,2/14/2024,GSW,game,TRUE,Stephen Curry,curryst01,34.39,15,31,0.484,9,19,0.474,2,2,1,1,3,4,5,0,0,4,41,41,-6,
202402120UTA,2/12/2024,GSW,game,TRUE,Stephen Curry,curryst01,32.05,9,19,0.474,7,16,0.438,0,0,,0,6,6,10,3,1,1,25,25,30,
202402100GSW,2/10/2024,GSW,game,TRUE,Stephen Curry,curryst01,33.52,10,22,0.455,9,16,0.563,1,2,0.5,1,8,9,6,1,0,3,30,30,10,
202402080IND,2/8/2024,GSW,game,TRUE,Stephen Curry,curryst01,30.06,15,22,0.682,11,16,0.688,1,2,0.5,0,2,2,2,0,1,2,42,42,13,
202402070PHI,2/7/2024,GSW,game,TRUE,Stephen Curry,curryst01,24.36,2,7,0.286,1,4,0.25,4,4,1,0,3,3,1,0,1,4,9,9,13,
202402050BRK,2/5/2024,GSW,game,TRUE,Stephen Curry,curryst01,34.17,12,24,0.5,4,11,0.364,1,1,1,1,4,5,3,0,0,4,29,29,6,
202402030ATL,2/3/2024,GSW,game,TRUE,Stephen Curry,curryst01,41.21,22,38,0.579,10,23,0.435,6,6,1,1,5,6,4,0,1,2,60,60,-1,
202402020MEM,2/2/2024,GSW,game,TRUE,Stephen Curry,curryst01,32.16,6,16,0.375,4,9,0.444,4,4,1,0,6,6,6,1,0,3,20,20,12,
202401300GSW,1/30/2024,GSW,game,TRUE,Stephen Curry,curryst01,35.12,12,17,0.706,8,13,0.615,5,5,1,1,7,8,7,0,1,5,37,37,26,
202401270GSW,1/27/2024,GSW,game,TRUE,Stephen Curry,curryst01,43.24,17,35,0.486,9,21,0.429,3,3,1,0,3,3,7,1,0,4,46,46,-2,
202401250GSW,1/25/2024,GSW,game,TRUE,Stephen Curry,curryst01,36.2,13,26,0.5,6,14,0.429,1,1,1,1,5,6,2,1,0,2,33,33,-8,
202401240GSW,1/24/2024,GSW,game,TRUE,Stephen Curry,curryst01,31.18,7,16,0.438,5,8,0.625,6,6,1,0,3,3,8,0,0,1,25,25,9,
202401150MEM,1/15/2024,GSW,game,TRUE,Stephen Curry,curryst01,32.44,11,20,0.55,3,9,0.333,1,1,1,1,3,4,8,2,1,5,26,26,-2,
202401120CHI,1/12/2024,GSW,game,TRUE,Stephen Curry,curryst01,35.1,8,24,0.333,6,15,0.4,5,5,1,0,5,5,9,1,0,1,27,27,5,
202401100GSW,1/10/2024,GSW,game,TRUE,Stephen Curry,curryst01,25.11,4,13,0.308,3,8,0.375,4,4,1,0,1,1,6,1,0,3,15,15,-4,
202401070GSW,1/7/2024,GSW,game,TRUE,Stephen Curry,curryst01,29.51,2,14,0.143,0,9,0,5,5,1,0,1,1,6,0,0,2,7,9,-17,
202401050GSW,1/5/2024,GSW,game,TRUE,Stephen Curry,curryst01,30.56,7,19,0.368,4,12,0.333,8,9,0.889,0,6,6,4,1,1,4,26,26,0,
202401040GSW,1/4/2024,GSW,game,TRUE,Stephen Curry,curryst01,34.35,11,23,0.478,5,12,0.417,3,3,1,0,4,4,6,1,1,2,30,30,-1,
202401020GSW,1/2/2024,GSW,game,TRUE,Stephen Curry,curryst01,35.14,12,20,0.6,4,9,0.444,8,11,0.727,1,1,2,6,4,1,2,36,36,12,
202312300GSW,12/30/2023,GSW,game,TRUE,Stephen Curry,curryst01,34.3,9,25,0.36,6,15,0.4,1,1,1,0,2,2,7,1,0,3,25,25,-6,
202312280GSW,12/28/2023,GSW,game,TRUE,Stephen Curry,curryst01,31.42,3,15,0.2,2,8,0.25,5,6,0.833,0,4,4,5,2,1,1,13,13,-14,
202312250DEN,12/25/2023,GSW,game,TRUE,Stephen Curry,curryst01,34.2,7,21,0.333,3,13,0.231,1,1,1,1,1,2,4,1,1,3,18,18,-26,
202312230GSW,12/23/2023,GSW,game,TRUE,Stephen Curry,curryst01,30.18,11,18,0.611,2,7,0.286,3,3,1,0,3,3,2,0,0,1,27,27,4,
202312220GSW,12/22/2023,GSW,game,TRUE,Stephen Curry,curryst01,26.54,9,18,0.5,8,13,0.615,4,5,0.8,0,4,4,7,0,1,2,30,30,-1,
202312190GSW,12/19/2023,GSW,game,TRUE,Stephen Curry,curryst01,38.18,11,21,0.524,6,11,0.545,5,5,1,0,3,3,6,0,0,4,33,33,8,
202312170POR,12/17/2023,GSW,game,TRUE,Stephen Curry,curryst01,31.14,2,12,0.167,0,8,0,3,4,0.75,0,2,2,8,1,1,4,7,7,14,
202312160GSW,12/16/2023,GSW,game,TRUE,Stephen Curry,curryst01,35.02,14,22,0.636,6,8,0.75,3,3,1,0,3,3,1,0,3,3,37,37,7,
202312140LAC,12/14/2023,GSW,game,TRUE,Stephen Curry,curryst01,34.02,5,17,0.294,3,13,0.231,4,4,1,0,4,4,4,0,0,1,17,17,-3,
202312120PHO,12/12/2023,GSW,game,TRUE,Stephen Curry,curryst01,32.04,8,24,0.333,4,15,0.267,4,4,1,0,5,5,4,3,0,1,24,24,-15,
202312080OKC,12/8/2023,GSW,game,TRUE,Stephen Curry,curryst01,40.21,10,20,0.5,6,12,0.5,8,8,1,0,6,6,3,1,0,3,34,34,-5,
202312060GSW,12/6/2023,GSW,game,TRUE,Stephen Curry,curryst01,34.28,8,18,0.444,5,13,0.385,10,11,0.909,0,5,5,1,0,0,4,31,31,4,
202312020LAC,12/1/2023,GSW,game,TRUE,Stephen Curry,curryst01,36.36,7,18,0.389,4,9,0.444,4,4,1,1,3,4,11,0,0,2,22,22,2,
202311300GSW,11/30/2023,GSW,game,TRUE,Stephen Curry,curryst01,33,8,15,0.533,3,9,0.333,7,9,0.778,0,7,7,8,1,1,2,26,26,-4,
202311280SAC,11/27/2023,GSW,game,TRUE,Stephen Curry,curryst01,37.03,8,20,0.4,4,12,0.333,9,9,1,3,7,10,6,0,1,5,29,29,7,
202311240GSW,11/24/2023,GSW,game,TRUE,Stephen Curry,curryst01,34.49,11,20,0.55,7,14,0.5,6,6,1,0,3,3,6,1,0,6,35,35,4,
202311220PHO,11/22/2023,GSW,game,TRUE,Stephen Curry,curryst01,27.42,6,15,0.4,1,8,0.125,3,3,1,0,3,3,6,0,0,2,16,16,-17,
202311200GSW,11/20/2023,GSW,game,TRUE,Stephen Curry,curryst01,34.47,8,14,0.571,5,9,0.556,11,12,0.917,0,5,5,1,0,0,4,32,32,-3,
202311180GSW,11/18/2023,GSW,game,TRUE,Stephen Curry,curryst01,40.16,8,21,0.381,5,11,0.455,4,4,1,0,7,7,3,0,0,2,25,25,0,
202311120GSW,11/12/2023,GSW,game,TRUE,Stephen Curry,curryst01,36.07,11,25,0.44,5,13,0.385,11,12,0.917,1,4,5,3,1,0,5,38,38,-4,
202311110GSW,11/11/2023,GSW,game,TRUE,Stephen Curry,curryst01,32.33,9,24,0.375,4,14,0.286,8,8,1,1,2,3,2,1,1,4,30,30,-8,
202311080DEN,11/8/2023,GSW,game,TRUE,Stephen Curry,curryst01,34.28,6,17,0.353,6,13,0.462,5,5,1,1,4,5,4,1,0,3,23,23,-10,
202311060DET,11/6/2023,GSW,game,TRUE,Stephen Curry,curryst01,32.37,12,26,0.462,7,17,0.412,3,4,0.75,0,2,2,4,0,0,3,34,34,17,
202311050CLE,11/5/2023,GSW,game,TRUE,Stephen Curry,curryst01,30.49,8,16,0.5,7,11,0.636,5,6,0.833,0,2,2,4,1,0,6,28,28,-6,
202311030OKC,11/3/2023,GSW,game,TRUE,Stephen Curry,curryst01,31.23,9,15,0.6,5,10,0.5,7,7,1,3,5,8,7,2,0,3,30,30,5,
202311010GSW,11/1/2023,GSW,game,TRUE,Stephen Curry,curryst01,32.2,7,15,0.467,4,10,0.4,3,3,1,1,4,5,3,0,0,7,21,21,-6,
202310300NOP,10/30/2023,GSW,game,TRUE,Stephen Curry,curryst01,30.02,15,22,0.682,7,13,0.538,5,7,0.714,0,5,5,5,2,0,3,42,42,13,
202310290HOU,10/29/2023,GSW,game,TRUE,Stephen Curry,curryst01,31.25,6,16,0.375,6,14,0.429,6,6,1,1,6,7,6,0,1,1,24,24,-2,
202310270SAC,10/27/2023,GSW,game,TRUE,Stephen Curry,curryst01,34.5,14,19,0.737,7,10,0.7,6,6,1,1,3,4,4,2,0,4,41,41,10,
202310240GSW,10/24/2023,GSW,game,TRUE,Stephen Curry,curryst01,30.45,8,20,0.4,4,14,0.286,7,7,1,1,4,5,1,1,0,2,27,27,-9,
202203160GSW,3/16/2022,GSW,game,TRUE,Stephen Curry,curryst01,13.13.4,1,4,0.25,1,4,0.25,0,0,,0,1,1,2,0,0,4,2,3,,
